; Fri, 15 May 2015, 18:37:42

; ngrp=29, nloc=5113




group 1A



AX-89897446:ph3         0.000  ; 9730

AX-89778349:nmh         0.549  ; 9731

AX-89849993:ph3         0.578  ; 9732

AX-89778474:nmh         1.133  ; 9733

AX-89778440:nmh         1.689  ; 9734

AX-89816038:ph3         1.689  ; 9735

AX-89778419:ph3         2.245  ; 9736

AX-89819282:ph3         2.245  ; 9737

AX-89876374:nmh         2.941  ; 9738

AX-89847187:ph3         3.174  ; 9739

AX-89806574:ph3         3.637  ; 9740

AX-89780857:ph3         3.914  ; 9741

AX-89824846:ph3         4.192  ; 9742

AX-89819245:nmh         5.170  ; 9743

AX-89911939:nmh         5.182  ; 9744

AX-89779516:ph3         6.148  ; 9745

AX-89854100:nmh         6.148  ; 9746

AX-89819243:nmh         6.148  ; 9747

AX-89904070:ph3         6.439  ; 9748

AX-89779503:nmh         6.729  ; 9749

AX-89847200:ph3         6.729  ; 9750

AX-89817409:ph3         7.127  ; 9751

AX-89904794:ph3         7.897  ; 9752

AX-89895328:ph3         8.187  ; 9753

AX-89872303:ph3         8.478  ; 9754

AX-89876316:nmh         8.768  ; 9755

AX-89910149:nmh         8.768  ; 9756

AX-89823288:nmh         9.058  ; 9757

AX-89856030:nmh         9.480  ; 9758

AX-89803044:ph3        10.111  ; 9759

AX-89874505:ph3        10.325  ; 9760

AX-89817361:nmh        10.325  ; 9761

AX-89806314:nmh        10.889  ; 9762

AX-89846799:ph3        11.448  ; 9763

AX-89873003:ph3        12.572  ; 9764

AX-89854077:nmh        12.572  ; 9765

AX-89904062:ph3        12.572  ; 9766

AX-89846767:ph3        12.572  ; 9767

AX-89815906:ph2        12.572  ; 9768

AX-89874096:nmh        13.142  ; 9769

AX-89846765:ph3        13.689  ; 9770

AX-89874012:ph3        14.886  ; 9771

AX-89778385:nmh        15.166  ; 9772

AX-89862536:ph3        15.166  ; 9773

AX-89885469:nmh        15.496  ; 9774

AX-89815915:nmh        15.873  ; 9775

AX-89778361:nmh        15.954  ; 9776

AX-89815924:nmh        16.579  ; 9777

AX-89778393:ph2        16.579  ; 9778

AX-89873010:nmh        16.875  ; 9779

AX-89872265:nmh        17.285  ; 9780

AX-89815897:nmh        17.796  ; 9781

AX-89779183:ph3        18.705  ; 9782

AX-89815923:nmh        18.717  ; 9783

AX-89816979:ph3        18.717  ; 9784

AX-89904105:ph3        19.175  ; 9785

AX-89778582:nmh        19.175  ; 9786

AX-89874080:ph3        20.847  ; 9787

AX-89779166:nmh        20.847  ; 9788

AX-89874069:ph3        22.267  ; 9789

AX-89874027:nmh        22.973  ; 9790

AX-89873322:ph3        23.679  ; 9791

AX-89779132:ph3        24.385  ; 9792

AX-89778611:nmh        25.091  ; 9793

AX-89816212:ph3        25.091  ; 9794

AX-89873299:ph3        25.797  ; 9795

AX-89873296:nmh        26.504  ; 9796

AX-89816187:nmh        27.210  ; 9797

AX-89778562:ph3        29.352  ; 9798

AX-89816166:nmh        29.352  ; 9799

AX-89846222:ph2        31.494  ; 9800

AX-89903503:nmh        31.494  ; 9801

AX-89779031:nmh        32.200  ; 9802

AX-89873939:nmh        32.200  ; 9803

AX-89778991:nmh        32.906  ; 9804

AX-89873789:ph3        32.906  ; 9805

AX-89803085:ph3        33.612  ; 9806

AX-89806336:ph3        33.612  ; 9807

AX-89873506:nmh        34.318  ; 9808

AX-89803090:ph3        34.318  ; 9809

AX-89873731:nmh        40.840  ; 9810

AX-89873694:nmh        41.298  ; 9811

AX-89873718:ph3        41.751  ; 9812

AX-89803108:ph3        41.770  ; 9813

AX-89873711:ph3        42.314  ; 9814

AX-89873703:nmh        43.214  ; 9815

AX-89873632:ph3        43.677  ; 9816

AX-89873657:nmh        44.268  ; 9817

AX-89816532:nmh        44.268  ; 9818

AX-89873638:ph3        44.268  ; 9819

AX-89806351:ph3        44.268  ; 9820

AX-89854209:nmh        45.676  ; 9821

AX-89850973:nmh        45.676  ; 9822

AX-89873606:ph3        45.676  ; 9823

AX-89862580:nmh        46.093  ; 9824

AX-89898544:nmh        46.509  ; 9825

AX-89904128:ph3        46.509  ; 9826

AX-89816486:nmh        47.326  ; 9827

AX-89898543:ph2        47.732  ; 9828

AX-89906395:ph3        48.549  ; 9829

AX-89808452:nmh        49.177  ; 9830

AX-89808468:nmh        50.626  ; 9831

AX-89798446:ph3        51.032  ; 9832

AX-89841401:ph2        51.032  ; 9833

AX-89864512:nmh        51.438  ; 9834

AX-89906403:ph3        51.844  ; 9835

AX-89798544:nmh        51.844  ; 9836

AX-89779495:nmh        53.348  ; 9837

AX-89841549:nmh        54.092  ; 9838

AX-89915376:ph3        54.092  ; 9839

AX-89841526:nmh        55.399  ; 9840

AX-89898779:nmh        56.050  ; 9841

AX-89851247:nmh        56.572  ; 9842

AX-89876204:ph3        57.547  ; 9843

AX-89780689:nmh        58.523  ; 9844

AX-89876154:nmh        59.008  ; 9845

AX-89862760:nmh        59.493  ; 9846

AX-89818860:ph3        62.399  ; 9847

AX-89780643:nmh        62.967  ; 9848

AX-89818815:nmh        63.452  ; 9849

AX-89875904:nmh        63.937  ; 9850

AX-89869496:nmh        64.912  ; 9851

AX-89875857:ph3        65.125  ; 9852

AX-89780485:nmh        65.280  ; 9853

AX-89780501:ph3        65.280  ; 9854

AX-89780474:nmh        66.191  ; 9855

AX-89780457:nmh        66.749  ; 9856

AX-89875736:nmh        68.965  ; 9857

AX-89780412:nmh        69.696  ; 9858

AX-89818624:nmh        69.696  ; 9859

AX-89818568:nmh        70.426  ; 9860

AX-89818567:ph3        70.426  ; 9861

AX-89818527:ph3        71.127  ; 9862

AX-89780343:ph3        71.127  ; 9863

AX-89818536:nmh        71.269  ; 9864

AX-89875660:ph3        71.828  ; 9865

AX-89780239:nmh        72.445  ; 9866

AX-89780287:nmh        73.062  ; 9867

AX-89875616:nmh        73.062  ; 9868

AX-89818489:ph3        73.360  ; 9869

AX-89803316:ph3        73.360  ; 9870

AX-89780233:nmh        73.679  ; 9871

AX-89780215:nmh        73.679  ; 9872

AX-89875590:nmh        73.865  ; 9873

AX-89780165:nmh        74.297  ; 9874

AX-89854550:nmh        74.297  ; 9875

AX-89818402:ph3        74.370  ; 9876

AX-89867525:ph2        74.370  ; 9877

AX-89875581:ph3        75.171  ; 9878

AX-89875431:nmh        75.538  ; 9879

AX-89818435:nmh        75.890  ; 9880

AX-89854573:ph3        76.906  ; 9881

AX-89818395:nmh        76.906  ; 9882

AX-89910549:nmh        76.906  ; 9883

AX-89818346:ph3        77.411  ; 9884

AX-89875441:ph3        77.411  ; 9885

AX-89875463:ph3        77.411  ; 9886

AX-89875472:nmh        77.411  ; 9887

AX-89910537:nmh        77.966  ; 9888

AX-89875400:nmh        78.528  ; 9889

AX-89818271:nmh        79.084  ; 9890

AX-89875422:nmh        79.084  ; 9891

AX-89818287:ph3        79.084  ; 9892

AX-89811076:nmh        80.201  ; 9893

AX-89779995:nmh        80.201  ; 9894

AX-89875232:ph3        80.201  ; 9895

AX-89780032:nmh        80.201  ; 9896

AX-89780007:ph3        80.201  ; 9897

AX-89806479:nmh        80.558  ; 9898

AX-89875159:nmh        80.915  ; 9899

AX-89806471:nmh        81.999  ; 9900

AX-89779872:nmh        82.356  ; 9901

AX-89812421:nmh        82.713  ; 9902

AX-89779870:ph3        82.713  ; 9903

AX-89817955:nmh        82.713  ; 9904

AX-89793122:ph3        82.713  ; 9905

AX-89817950:nmh        82.713  ; 9906

AX-89849152:ph3        83.269  ; 9907

AX-89891474:ph3        83.269  ; 9908

AX-89875333:nmh        83.687  ; 9909

AX-89793089:ph3        83.687  ; 9910

AX-89891443:ph3        84.105  ; 9911

AX-89803280:nmh        84.625  ; 9912

AX-89793065:nmh        84.701  ; 9913

AX-89910509:nmh        85.145  ; 9914

AX-89818193:nmh        85.297  ; 9915

AX-89873721:nmh        85.665  ; 9916

AX-89780089:nmh        85.893  ; 9917

AX-89875355:nmh        85.893  ; 9918

AX-89904270:ph3        85.893  ; 9919

AX-89818224:ph3        85.893  ; 9920

AX-89867012:nmh        86.292  ; 9921

AX-89846876:ph3        86.808  ; 9922

AX-89872270:ph3        87.262  ; 9923

AX-89869349:ph2        87.262  ; 9924

AX-89817396:ph3        87.717  ; 9925

AX-89779469:nmh        88.172  ; 9926

AX-89874633:nmh        90.700  ; 9927

AX-89854388:nmh        91.855  ; 9928

AX-89910392:ph3        92.866  ; 9929

AX-89817584:ph3        92.866  ; 9930

AX-89904231:ph3        93.703  ; 9931

AX-89860579:nmh        93.842  ; 9932

AX-89817701:ph3        93.981  ; 9933

AX-89851085:nmh        94.413  ; 9934

AX-89817710:ph3        94.954  ; 9935

AX-89817742:nmh        95.930  ; 9936

AX-89780504:nmh        96.486  ; 9937

AX-89862661:nmh        96.497  ; 9938

AX-89779949:nmh        97.614  ; 9939

AX-89860623:nmh        98.170  ; 9940

AX-89803286:nmh        98.737  ; 9941

group 1B


AX-89874753:nmh         0.000  ; 9345

AX-89847854:ph3         0.556  ; 9346

AX-89874722:nmh         0.556  ; 9347

AX-89817509:nmh         0.556  ; 9348

AX-89862740:nmh         1.078  ; 9349

AX-89818496:nmh         1.601  ; 9350

AX-89779646:nmh         2.653  ; 9351

AX-89817576:nmh         3.176  ; 9352

AX-89803201:nmh         3.942  ; 9353

AX-89815909:nmh         5.298  ; 9354

AX-89817750:nmh         6.364  ; 9355

AX-89779670:nmh         6.670  ; 9356

AX-89779876:nmh         7.263  ; 9357

AX-89875503:ph3         7.263  ; 9358

AX-89779600:nmh         8.491  ; 9359

AX-89779292:nmh         9.543  ; 9360

AX-89817619:nmh         9.674  ; 9361

AX-89779127:nmh        10.066  ; 9362

AX-89874786:nmh        10.266  ; 9363

AX-89873836:nmh        10.589  ; 9364

AX-89874730:nmh        10.859  ; 9365

AX-89816925:nmh        11.112  ; 9366

AX-89873745:nmh        12.163  ; 9367

AX-89818234:nmh        12.686  ; 9368

AX-89904272:nmh        12.686  ; 9369

AX-89834242:nmh        13.738  ; 9370

AX-89860556:nmh        14.517  ; 9371

AX-89779862:nmh        14.790  ; 9372

AX-89857876:nmh        15.313  ; 9373

AX-89779306:ph3        15.709  ; 9374

AX-89891489:ph3        16.846  ; 9375

AX-89891456:ph3        16.899  ; 9376

AX-89793071:nmh        16.899  ; 9377

AX-89834285:ph3        17.352  ; 9378

AX-89891488:ph3        17.454  ; 9379

AX-89875083:ph3        17.732  ; 9380

AX-89875074:ph3        17.732  ; 9381

AX-89875208:nmh        18.862  ; 9382

AX-89862693:nmh        19.190  ; 9383

AX-89875075:ph3        19.524  ; 9384

AX-89804950:nmh        20.536  ; 9385

AX-89841522:nmh        20.544  ; 9386

AX-89898781:nmh        20.822  ; 9387

AX-89875249:ph3        21.548  ; 9388

AX-89818392:nmh        22.922  ; 9389

AX-89875531:nmh        23.601  ; 9390

AX-89875556:nmh        25.761  ; 9391

AX-89780254:ph3        27.462  ; 9392

AX-89875541:ph3        28.023  ; 9393

AX-89875613:ph3        28.584  ; 9394

AX-89780375:nmh        30.866  ; 9395

AX-89818560:nmh        31.427  ; 9396

AX-89875711:nmh        31.988  ; 9397

AX-89780348:nmh        32.574  ; 9398

